winner_country,country_home,home_country_weighted_score,country_away,away_country_weighted_score,home rank,away rank
Wales,Turkey,0.7476229567187501,Wales,0.6638861928124999,0.7476229567187501,0.6638861928124999
Italy,Italy,1.5227399706250007,Switzerland,0.9616251490625004,1.5227399706250007,0.9616251490625004
Belgium,Denmark,0.7966468906250002,Belgium,1.1588570312500004,0.7966468906250002,1.1588570312500004
Ukraine,Ukraine,0.7414532062500001,North Macedonia,0.45467942812500006,0.7414532062500001,0.45467942812500006
Netherlands,Netherlands,1.0554179625000006,Austria,0.5013602062500001,1.0554179625000006,0.5013602062500001
N/A,Croatia,0.5050988404687501,Czechia,0.7006617501562501,0.5050988404687501,0.7006617501562501
N/A,England,1.2712783692187504,Scotland,0.66849145265625,1.2712783692187504,0.66849145265625
Sweden,Sweden,0.7423275687500002,Slovakia,0.6397605906249999,0.7423275687500002,0.6397605906249999
N/A,Spain,0.7866614609375,Poland,0.4871250078124999,0.7866614609375,0.4871250078124999
N/A,Hungary,0.7404232000000001,France,1.1146783000000002,0.7404232000000001,1.1146783000000002
Germany,Germany,0.8653534875000002,Portugal,0.9043675687500004,0.8653534875000002,0.9043675687500004
Italy,Italy,1.7414025869687508,Wales,0.554554884640625,1.7414025869687508,0.554554884640625
Switzerland,Switzerland,1.1325499596406254,Turkey,0.6621605514296875,1.1325499596406254,0.6621605514296875
Denmark,Denmark,0.9246996203125003,Russia,0.41985404140624993,0.9246996203125003,0.41985404140624993
Belgium,Finland,0.49250876093749996,Belgium,1.3326850093750007,0.49250876093749996,1.3326850093750007
Netherlands,Netherlands,1.206427701562501,North Macedonia,0.37917455859375004,1.206427701562501,0.37917455859375004
Austria,Ukraine,0.679312535625,Austria,0.6256415475000002,0.679312535625,0.6256415475000002
Croatia,Scotland,0.609811938,Croatia,0.6224578697812502,0.609811938,0.6224578697812502
England,England,1.4684723811562506,Czechia,0.6020647441875,1.4684723811562506,0.6020647441875
Spain,Spain,0.9293036660937501,Slovakia,0.5684394880468748,0.9293036660937501,0.5684394880468748
Sweden,Sweden,0.8652728264062503,Poland,0.4256523789843749,0.8652728264062503,0.4256523789843749
N/A,Germany,0.8591069731250002,Hungary,0.7466697143750001,0.8591069731250002,0.7466697143750001
N/A,Portugal,0.9148831053125003,France,1.1041627634375002,0.9148831053125003,1.1041627634375002
Italy,Italy,1.978107000415626,Austria,0.5072893407765626,1.978107000415626,0.5072893407765626
Denmark,Wales,0.4805921593929687,Denmark,1.0726250708078129,0.4805921593929687,1.0726250708078129
Czechia,Netherlands,1.1160030792750009,Czechia,0.7829139887625002,1.1160030792750009,0.7829139887625002
Belgium,Belgium,1.5574418208437508,Portugal,0.8025046995781252,1.5574418208437508,0.8025046995781252
Spain,Croatia,0.5448697929875002,Spain,1.0844798196812502,0.5448697929875002,1.0844798196812502
N/A,France,1.1055821232476566,Switzerland,1.131130599830469,1.1055821232476566,1.131130599830469
England,England,1.7012303165843758,Germany,0.7427280054109375,1.7012303165843758,0.7427280054109375
Ukraine,Sweden,0.7880435583046876,Ukraine,0.8337710718281252,0.7880435583046876,0.8337710718281252
N/A,Switzerland,1.128798060823008,Spain,1.086812358688711,1.128798060823008,1.086812358688711
Italy,Belgium,1.380664379780782,Italy,2.331661882541564,1.380664379780782,2.331661882541564
Denmark,Czechia,0.6901370357839844,Denmark,1.2581789767648441,0.6901370357839844,1.2581789767648441
England,Ukraine,0.7070210024075,England,1.954730455425626,0.7070210024075,1.954730455425626
N/A,Italy,2.269419406348921,Spain,1.1490548348813536,2.269419406348921,1.1490548348813536
England,England,2.276021398644673,Denmark,1.0975335051553206,2.276021398644673,1.0975335051553206
N/A,England,2.275691299029885,Italy,2.2697495059637083,2.275691299029885,2.2697495059637083
Serbia,Qatar,0.44324937499999995,Serbia,0.7485137500000002,0.44324937499999995,0.7485137500000002
Switzerland,Switzerland,1.2922647419053088,Greece,0.42413540945884953,1.2922647419053088,0.42413540945884953
Portugal,Portugal,0.9296024195359378,Republic of Ireland,0.4049236400210937,0.9296024195359378,0.4049236400210937
N/A,Kazakhstan,0.46522605012037493,Ukraine,0.694294952287125,0.46522605012037493,0.694294952287125
N/A,France,1.0693604545852735,Bosnia and Herzegovina,0.4173704186623828,1.0693604545852735,0.4173704186623828
Denmark,Denmark,1.2682680494708527,Scotland,0.5244446658422339,1.2682680494708527,0.5244446658422339
Austria,Moldova,0.3386632720236718,Austria,0.596336984229219,0.3386632720236718,0.596336984229219
N/A,Norway,0.47855015396375,Netherlands,1.082452925311251,0.47855015396375,1.082452925311251
N/A,Turkey,0.6540525238582031,Montenegro,0.5081080275714843,0.6540525238582031,0.5081080275714843
N/A,Slovenia,0.5921193181523438,Slovakia,0.5696857948945311,0.5921193181523438,0.5696857948945311
N/A,Russia,0.42610482898531243,Croatia,0.5386190054084375,0.42610482898531243,0.5386190054084375
Kosovo,Georgia,0.3954857499999999,Kosovo,0.5337485,0.3954857499999999,0.5337485
Sweden,Sweden,0.9817533976232918,Spain,1.0521999152220514,0.9817533976232918,1.0521999152220514
N/A,Italy,2.173559093165523,Bulgaria,0.4421316627981853,2.173559093165523,0.4421316627981853
Czechia,Czechia,0.803650739362383,Belarus,0.38824314821080075,0.803650739362383,0.38824314821080075
Belgium,Estonia,0.35846678101096086,Belgium,1.5637308177588602,0.35846678101096086,1.5637308177588602
England,Hungary,0.5955516637047558,England,2.5779274003703736,0.5955516637047558,2.5779274003703736
Poland,Poland,0.5254282512578125,Albania,0.5222184076132811,0.5254282512578125,0.5222184076132811
Romania,Iceland,0.4127461093749999,Romania,0.4541237187499999,0.4127461093749999,0.4541237187499999
Germany,Liechtenstein,0.36831884972945306,Germany,0.8596803059520314,0.36831884972945306,0.8596803059520314
Portugal,Qatar,0.37460678527320307,Portugal,1.0668875989895317,0.37460678527320307,1.0668875989895317
Serbia,Serbia,0.8626645625000002,Luxembourg,0.33591896874999994,0.8626645625000002,0.33591896874999994
N/A,Ukraine,0.7130482274020323,France,1.0506071794703662,0.7130482274020323,1.0506071794703662
Denmark,Faroe Islands,0.3190803475264573,Denmark,1.435357354417938,0.3190803475264573,1.435357354417938
Scotland,Scotland,0.6107554596288245,Moldova,0.29550787513037646,0.6107554596288245,0.29550787513037646
Israel,Israel,0.4934613234229219,Austria,0.546800697517758,0.4934613234229219,0.546800697517758
Turkey,Gibraltar,0.3477026081820898,Turkey,0.7595004324940235,0.3477026081820898,0.7595004324940235
Netherlands,Netherlands,1.2415090205995245,Montenegro,0.42857997992734753,1.2415090205995245,0.42857997992734753
Slovenia,Slovenia,0.6961062499675782,Malta,0.39575653409238276,0.6961062499675782,0.39575653409238276
Croatia,Slovakia,0.5142705548793826,Croatia,0.6494494854387345,0.5142705548793826,0.6494494854387345
Spain,Spain,1.1969684817442565,Georgia,0.32310146673889734,1.1969684817442565,0.32310146673889734
N/A,Switzerland,1.3363294594683195,Italy,2.129494375602512,1.3363294594683195,2.129494375602512
Belgium,Belgium,1.8004689734709847,Czechia,0.6852816615063209,1.8004689734709847,0.6852816615063209
England,England,2.8709826404074112,Andorra,0.20609737998148123,2.8709826404074112,0.20609737998148123
Albania,Albania,0.6339954147450848,Hungary,0.5396631601388538,0.6339954147450848,0.5396631601388538
Poland,San Marino,0.25550452493710923,Poland,0.6076317013835938,0.25550452493710923,0.6076317013835938
Germany,Germany,1.0062758365472346,Armenia,0.5329772347023986,1.0062758365472346,0.5329772347023986
Romania,Romania,0.5363679755979452,Liechtenstein,0.3271967213054804,0.5363679755979452,0.3271967213054804
N/A,Republic of Ireland,0.42781068614503903,Serbia,0.8397775163760548,0.42781068614503903,0.8397775163760548
Portugal,Azerbaijan,0.27228593255052325,Portugal,1.2078532338884849,0.27228593255052325,1.2078532338884849
France,France,1.2049187735111528,Finland,0.41535296391710663,1.2049187735111528,0.41535296391710663
Scotland,Austria,0.48892288966042885,Scotland,0.7265110753434827,0.48892288966042885,0.7265110753434827
Denmark,Denmark,1.628239222202024,Israel,0.3970203895308789,1.628239222202024,0.3970203895308789
Netherlands,Netherlands,1.4416099659088792,Turkey,0.6594499598393461,1.4416099659088792,0.6594499598393461
Croatia,Croatia,0.7840050589793659,Slovenia,0.6288284631972625,0.7840050589793659,0.6288284631972625
Slovakia,Slovakia,0.6092761728673209,Cyprus,0.38828281600603076,0.6092761728673209,0.38828281600603076
Bulgaria,Bulgaria,0.5186549757518936,Georgia,0.2848398102620432,0.5186549757518936,0.2848398102620432
